wikidata_id,name,country,latitude,longitude,website,founded,area_ha,wikidata_url,source
Q320082,Flora und Botanischer Garten Köln,Germany,50.95932,6.97194,https://www.stadt-koeln.de/artikel/20040/index.html,1864-01-01,,http://www.wikidata.org/entity/Q320082,Wikidata
Q320082,Flora und Botanischer Garten Köln,Germany,50.95932,6.97194,https://www.stadt-koeln.de/leben-in-koeln/freizeit-natur-sport/parks/adresse-oeffnungszeiten-flora-botanischer-garten,1864-01-01,,http://www.wikidata.org/entity/Q320082,Wikidata
Q262120,Olive Pink Botanic Garden,Australia,-23.7064,133.885,http://opbg.com.au,1956-01-01,,http://www.wikidata.org/entity/Q262120,Wikidata
Q528505,Rotary Botanical Gardens,United States,42.6839,-89.0164,,,,http://www.wikidata.org/entity/Q528505,Wikidata
Q510585,Albury Botanic Gardens,Australia,-36.081,146.909,,1877-01-01,,http://www.wikidata.org/entity/Q510585,Wikidata
Q446505,Europa-Rosarium,Germany,51.4752,11.3148,,1899-01-01,,http://www.wikidata.org/entity/Q446505,Wikidata
Q574773,Herrenhausen Gardens,Germany,52.391666666,9.698333333,,,,http://www.wikidata.org/entity/Q574773,Wikidata
Q195786,Prague Botanical Garden,Czech Republic,50.1187,14.4154,http://www.botanicka.cz/hlavni-stranka.html?page_id=95,1969-01-01,,http://www.wikidata.org/entity/Q195786,Wikidata
Q536819,Lauritzen Gardens,United States,41.2369,-95.9162,http://www.omahabotanicalgardens.org/,1982-01-01,,http://www.wikidata.org/entity/Q536819,Wikidata
Q431309,Cosmovitral,Mexico,19.29354,-99.65371,http://patrimonioyserviciosc.edomex.gob.mx/cosmovitral,1980-07-05,,http://www.wikidata.org/entity/Q431309,Wikidata
Q437788,"Old Botanical Garden, Kiel",Germany,54.3308,10.1469,,,,http://www.wikidata.org/entity/Q437788,Wikidata
Q373040,Parc botanique de Kerbihan,France,47.806,-3.2677,,,,http://www.wikidata.org/entity/Q373040,Wikidata
Q163255,Botanic Garden and Botanical Museum Berlin,Germany,52.455,13.3036,https://www.bo.berlin/,1897-01-01,,http://www.wikidata.org/entity/Q163255,Wikidata
