city,col_2_comments,coordinates,country,founded,name,notes,region,source,source_url,wikipedia_url
,,,United Kingdom,,Beth Chatto Gardens,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Beth_Chatto_Gardens
,,,United Kingdom,,Batsford Arboretum,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Batsford_Arboretum
,,,United Kingdom,,Tortworth Court,Tortworth CourtArboretum,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Tortworth_Court
,,,United Kingdom,,Westonbirt Arboretum,"Westonbirt Arboretum,Tetbury",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Westonbirt_Arboretum
,,,United Kingdom,,Exbury Gardens,"Exbury Gardens,Exbury",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Exbury_Gardens
,,,United Kingdom,,Sir Harold Hillier Gardens,"Sir Harold Hillier Gardens,Romsey",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Sir_Harold_Hillier_Gardens
,,,United Kingdom,,Abbey Gardens,"Abbey Gardens,Tresco",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Tresco_Abbey_Gardens
,,,United Kingdom,,Ventnor Botanic Garden,"Ventnor Botanic Garden,Ventnor",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Ventnor_Botanic_Garden
,,,United Kingdom,,Bedgebury National Pinetum,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Bedgebury_National_Pinetum
,,,United Kingdom,,Lullingstone Castle,The World Garden atLullingstone Castle,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Lullingstone_Castle
,,,United Kingdom,,Myerscough College,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Myerscough_College
,,,United Kingdom,,University of Leicester Botanic Garden,"University of Leicester Botanic Garden,Oadby, including the nearby Attenborough Arboretum",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/University_of_Leicester_Botanic_Garden
,,,United Kingdom,,Wavertree Botanic Park and Gardens,"Wavertree Botanic Park and Gardens,Liverpool",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Wavertree_Botanic_Park_and_Gardens
,,,United Kingdom,,Calderstones/Harthill estate,"Calderstones/Harthill estate, Liverpool",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Calderstones_Park#Botanical_garden
,,,United Kingdom,,Southport Botanic Gardens,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Southport_Botanic_Gardens
,,,United Kingdom,,Chelsea Physic Garden,"Chelsea Physic Garden,Chelsea",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Chelsea_Physic_Garden
,,,United Kingdom,,Crossrail Place,Crossrail PlaceRoof Garden,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Crossrail_Place
,,,United Kingdom,,"Royal Botanic Gardens, Kew",,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,"https://en.wikipedia.org/wiki/Royal_Botanic_Gardens,_Kew"
,,,United Kingdom,,"Fulham Palace House & Garden, Fulham",,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Fulham_Palace
,,,United Kingdom,,RHS Garden Bridgewater,RHS Garden BridgewaterSalford,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/RHS_Garden_Bridgewater
,,,United Kingdom,,Firs Botanical Grounds,Firs Botanical GroundsFallowfield,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Firs_Botanical_Grounds
,,,United Kingdom,,Fletcher Moss Botanical Garden,Fletcher Moss Botanical GardenDidsbury,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Fletcher_Moss_Botanical_Garden
,,,United Kingdom,,Moorbank Botanic Gardens,"Moorbank Botanic Gardens,Newcastle University(Now closed)",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Moorbank_Botanic_Gardens
,,,United Kingdom,,"Coton, Northamptonshire","Coton Manor Gardens,Coton, Northamptonshire",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,"https://en.wikipedia.org/wiki/Coton,_Northamptonshire"
,,,United Kingdom,,Thenford,"Thenford House Arboretum & Gardens,Thenford",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Thenford
,,,United Kingdom,,"The Arboretum, Nottingham",,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,"https://en.wikipedia.org/wiki/The_Arboretum,_Nottingham"
,,,United Kingdom,,Sutton Bonington,"Sutton BoningtonArboretum, University of Nottingham",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Sutton_Bonington
,,,United Kingdom,,University of Oxford Botanic Garden,"University of Oxford Botanic Garden,Oxford",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/University_of_Oxford_Botanic_Garden
,,,United Kingdom,,Harcourt Arboretum,"Harcourt Arboretum,Nuneham Courtenay",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Harcourt_Arboretum
,,,United Kingdom,,National Memorial Arboretum,"National Memorial Arboretum,Alrewas",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/National_Memorial_Arboretum
,,,United Kingdom,,"Royal Victoria Park, Bath","Bath Botanical Gardens at theRoyal Victoria Park, Bath",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,"https://en.wikipedia.org/wiki/Royal_Victoria_Park,_Bath"
,,,United Kingdom,,"Royal Botanic Gardens, Kew",,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,"https://en.wikipedia.org/wiki/Royal_Botanic_Gardens,_Kew"
,,,United Kingdom,,"Royal Horticultural Society Gardens, Wisley",,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,"https://en.wikipedia.org/wiki/Royal_Horticultural_Society_Gardens,_Wisley"
,,,United Kingdom,,Winkworth Arboretum,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Winkworth_Arboretum
,,,United Kingdom,,Borde Hill Garden,"Borde Hill Garden,Haywards Heath",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Borde_Hill_Garden
,,,United Kingdom,,Great Dixter,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Great_Dixter
,,,United Kingdom,,Wakehurst Place,"Wakehurst Place(outstation ofRoyal Botanic Gardens, Kew)",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Wakehurst_Place
,,,United Kingdom,,Garden Organic,"Ryton Organic Gardens, headquarters ofGarden OrganicnearRugby, Warwickshire; associated withUniversity of Coventry",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Garden_Organic
